City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
362,Byron Bay,AU,-28.65,153.6167,60.87,58,92,3.78,overcast clouds
363,Sabha,LY,27.0377,14.4283,82.65,19,0,7.83,clear sky
364,Kinsale,IE,51.7075,-8.5306,56.23,71,20,17.27,few clouds
365,Voh,NC,-20.9667,164.7,63.48,82,13,3.91,few clouds
366,Pangkalanbuun,ID,-2.6833,111.6167,74.86,97,84,2.13,broken clouds
367,Clyde River,CA,70.4692,-68.5914,30.43,86,90,13.8,overcast clouds
368,Okhotsk,RU,59.3833,143.3,46.04,84,100,5.1,light rain
369,Tiksi,RU,71.6872,128.8694,33.03,95,100,7.9,light snow
370,Colac,AU,-38.3333,143.5833,52.83,80,71,3.24,broken clouds
371,Uthal,PK,25.8072,66.6219,88.36,55,59,5.84,broken clouds
372,Maumere,ID,-8.6199,122.2111,78.1,80,86,5.73,overcast clouds
373,Quelimane,MZ,-17.8786,36.8883,78.75,73,0,10.0,clear sky
374,Bitkine,TD,11.9801,18.2138,84.61,55,75,1.59,broken clouds
375,Kemijarvi,FI,66.7131,27.4306,46.85,92,75,5.79,broken clouds
376,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,36.19,100,0,4.47,clear sky
377,Lavrentiya,RU,65.5833,-171.0,25.05,81,22,4.72,few clouds
378,Bridlington,GB,54.0831,-0.1919,59.9,64,24,15.17,few clouds
379,Eureka,US,40.8021,-124.1637,65.17,95,99,1.01,overcast clouds
380,Biltine,TD,14.5333,20.9167,85.66,46,79,6.51,broken clouds
381,Sao Filipe,CV,14.8961,-24.4956,80.87,78,41,12.26,scattered clouds
382,Bojonegoro,ID,-7.1502,111.8817,77.95,71,76,8.1,broken clouds
383,Bela,IN,25.9333,81.9833,83.57,73,6,6.55,clear sky
384,Macenta,GN,8.5435,-9.471,80.85,64,100,3.24,overcast clouds
385,Pacific Grove,US,36.6177,-121.9166,67.8,87,3,4.0,clear sky
386,Casper,US,42.8666,-106.3131,81.5,20,0,14.0,clear sky
387,Nueva Gorgona,PA,8.55,-79.8667,89.71,51,100,1.36,overcast clouds
388,Luganville,VU,-15.5333,167.1667,75.72,87,55,8.39,broken clouds
389,Nishihara,JP,26.1842,127.7558,79.88,83,20,9.22,few clouds
390,Dingolfing,DE,48.6333,12.5,66.24,85,18,3.89,few clouds
391,Teya,RU,60.3778,92.6267,33.19,83,100,3.44,overcast clouds
